year,brand,model,fileName,released,type,bodystyle,storage,seats,drive,kwh,range,engine,displacement,hp,tq,zeroToSixty,weight,fuelEcon,lowestPrice,avgLow,msrp,price2018Oct,price2018Nov,price2018Dec,price2019Jan,price2019Feb,price2019Mar,price2019April,price2019May
2017,Audi,A3 e-Tron,2017a3etron.jpg,Y,PHEV,Hatch,14,5,FWD,8.8,32,I4,1.4,201,243,7.6,1615,2.5,30500,32764,40900,35500,33500,32500,32500,30500,30500,34409,32700
2014,BMW,i3 REX,bmwi3.jpg,Y,PHEV,Hatch,15,4,RWD,22,116,I3,0.65,178,181,7,1315,1.5,22499,23736,48950,24900,23900,23000,24988,23597,24000,22499,23000
2017,BMW,i3 REX,bmwi3.jpg,Y,PHEV,Hatch,15,4,RWD,33,160,I3,0.65,178,181,7,1448,1.5,30995,37822,52150,39900,38900,34000,33900,37990,48900,37990,30995
2017,BMW,330e,bmw330e.jpg,Y,PHEV,Sedan,13,5,RWD,7.6,23,I4,2.0,248,310,5.8,1806,6.1,32988,36696,52100,N/A,N/A,38900,38900,N/A,N/A,35995,32988
2018,BMW,i3s REX,bmwi3s.jpg,Y,PHEV,Hatch,15,4,RWD,33,160,I3,0.65,184,199,6.5,1496,1.5,44889,57022,66646,58900,61499,61499,61499,61499,61499,44889,44889
2014,BMW,i8,bmwi8.jpg,Y,PHEV,Hatch,5,4,AWD,7.1,25,I3,1.5,357,420,4.2,1485,6.4,77677,82263,145000,89850,86900,82900,84500,79600,78978,77699,77677
2014,Cadillac,ELR,cadillacelr.jpg,Y,PHEV,Coupe,10.5,4,FWD,16.5,60,I4,1.4,217,295,7.8,1846,3.2,35400,37912,78250,N/A,N/A,N/A,N/A,40937,N/A,37400,35400
2016,Cadillac,ELR,cadillacelr.jpg,Y,PHEV,Coupe,10.5,4,FWD,17.1,63,I4,1.4,233,373,6.3,1846,3.2,59995,62498,74045,N/A,N/A,65000,65000,N/A,N/A,59996,59995
2012,Chevrolet,Volt,chevroletvoltgen1.jpg,Y,PHEV,Hatch,11,4,FWD,16,56,I4,1.4,149,273,8.8,1721,2.7,11000,13203,48500,15600,17500,13250,11700,12488,11989,12100,11000
2014,Chevrolet,Spark EV,chevroletsparkev.jpg,Y,BEV,Hatch,9.6,4,FWD,21.3,131,,,140,400,7.9,1356,,11996,12877,34000,N/A,N/A,13500,12977,14999,11996,11894,11894
2015,Chevrolet,Spark EV,chevroletsparkev.jpg,Y,BEV,Hatch,9.6,4,FWD,19,131,,,140,400,7.9,1356,,12990,13839,34000,N/A,N/A,14600,13488,14998,13970,12990,12990
2015,Chevrolet,Volt,chevroletvoltgen1.jpg,Y,PHEV,Hatch,11,4,FWD,17.1,61,I4,1.4,149,273,8.8,1715,2.5,13888,16769,36850,19995,19000,18500,17000,15888,13888,13888,15994
2017,Chevrolet,Volt,chevroletvoltgen2.jpg,Y,PHEV,Hatch,11,4,FWD,18.4,85,I4,1.4,149,294,7.5,1607,2.4,22388,25146,38390,27998,25600,26995,25995,25499,24200,22388,22495
2017,Chevrolet,Bolt EV,chevroletboltev.jpeg,Y,BEV,Hatch,17,5,FWD,60,383,,,200,266,6.5,1616,,29999,34163,44495,39836,41000,34997,35675,30900,30900,29999,29999
2017,Chrysler,Pacifica Hybrid,pacificahybrid.jpg,Y,PHEV,Minivan,32,7,FWD,16,53,V6,3.6,260,262,7.8,2324,3.6,39998,43427,56500,N/A,N/A,44873,44873,44773,40995,39998,45050
2015,Fiat,500e,fiat500e.jpg,Y,BEV,Hatch,7,4,FWD,24,140,,,111,147,8.4,1351,,12977,15235,33990,15800,14800,14800,12977,16995,15000,14972,16536
2012,Fisker,Karma,fiskerkarma.jpg,Y,PHEV,Sedan,7,4,RWD,20.1,51,I4,2.0,403,960,6.3,2400,9.8,38888,47320,103000,48500,48500,49000,47899,45999,38888,49888,49888
2012,Ford,Focus Electric,focusev.jpg,Y,BEV,Hatch,14,5,FWD,23,122,,,143,181,9.9,1651,,9995,11813,31999,N/A,N/A,9995,9995,13999,11995,11000,13895
2013,Ford,C-Max Energi,cmaxenergi.jpg,Y,PHEV,Hatch,19.2,5,FWD,7.6,32,I4,2.0,188,128,8.5,1768,4,10995,11497,36999,N/A,N/A,11500,11500,12500,11490,10995,10995
2015,Ford,C-Max Energi,cmaxenergi.jpg,Y,PHEV,Hatch,19.2,5,FWD,7.6,32,I4,2.0,188,128,8.5,1768,4,14995,15539,29849,N/A,N/A,15850,15995,15700,15700,14995,14995
2014,Ford,Fusion Energi,fusionenergi.jpg,Y,PHEV,Sedan,8.2,5,FWD,7.6,33,I4,2.0,188,129,7.9,1805,4,15490,15891,38399,N/A,N/A,15490,15490,16556,15995,15812,16000
2016,Ford,Focus Electric,focusev.jpg,Y,BEV,Hatch,14,5,FWD,23,122,,,143,181,9.9,1651,,18495,18494,31999,N/A,N/A,19000,18495,18991,18499,17990,17990
2017,Ford,C-Max Energi,cmaxenergi.jpg,Y,PHEV,Hatch,19.2,5,FWD,7.6,32,I4,2.0,188,128,8.5,1768,4,18499,21589,29829,N/A,N/A,22900,23740,21900,18499,21495,20999
2017,Ford,Fusion Energi,fusionenergi.jpg,Y,PHEV,Sedan,8.2,5,FWD,7.6,33,I4,2.0,195,129,7.9,1805,4,19991,20660,37288,N/A,N/A,21998,21998,19991,19991,19991,19991
2017,Ford,Focus Electric,focusev.jpg,Y,BEV,Hatch,14,5,FWD,33.5,185,,,143,181,9.9,1661,,20795,22132,31999,N/A,N/A,24498,22500,22000,21999,20999,20795
2018,Honda,Clarity PHEV,,Y,PHEV,Sedan,16,5,FWD,17,76,I4,1.5,212,232,7.7,1838,2.4,32899,37008,39900,38900,N/A,N/A,32899,N/A,39452,37000,36791
2018,Hyundai,Ioniq PHEV,,Y,PHEV,Hatch,23,5,FWD,8.9,43,I4,1.6,139,195,8.9,1552,2.8,22800,28609,32299,29400,29400,29400,29400,28600,32880,22800,26995
2017,Hyundai,Ioniq BEV,,Y,BEV,Hatch,23,5,FWD,28,200,,,118,215,8.6,1469,,23995,28436,37449,30900,32200,32200,32200,24995,27000,23995,23995
2019,Jaguar,I-Pace,,Y,BEV,CUV,23,5,AWD,90,386,,,394,512,4.8,2133,,86500,,86500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015,Kia,Soul EV,,Y,BEV,CUV,19,5,FWD,27,150,,,109,210,9.2,1554,,10500,16462,34995,N/A,N/A,17499,17499,18898,18489,15885,10500
2018,Kia,Soul EV,,Y,BEV,CUV,19,5,FWD,30,182,,,109,210,9.2,1584,,18899,26728,35895,N/A,N/A,29495,27399,28895,28987,26695,18899
2017,Kia,Optima PHEV,,Y,PHEV,Sedan,10,5,FWD,9.8,47,I4,2.0,202,276,8,1720,4.8,33999,34462,42995,N/A,N/A,33999,33999,N/A,N/A,37000,32850
2012,Mitsubishi,i-MiEV,,Y,BEV,Hatch,13,4,RWD,16,100,,,63,133,13,1080,,5995,5995,32998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5995
2018,Mitsubishi,Outlander PHEV,,Y,PHEV,CUV,30,5,AWD,12,35,I4,2.0,200,250,9.2,1895,4.4,29987,35436,43000,N/A,N/A,39998,37888,35900,35900,29987,32944
2011,Nissan,Leaf,,Y,BEV,Hatch,15,5,FWD,24,117,,,110,210,9.7,1521,,8288,9592,38395,11000,10500,9998,9565,8288,8288,9600,9500
2016,Nissan,Leaf SV,,Y,BEV,Hatch,15,5,FWD,30,135,,,110,210,9.6,1537,,17487,20206,37398,23266,23766,19858,17487,19998,19591,17685,19995
2018,Nissan,Leaf,,Y,BEV,Hatch,24,5,FWD,40,243,,,147,236,7.5,1580,,25999,31879,35998,35000,33777,33777,35495,29995,31995,28995,25999
2016,Porsche,Cayenne S E-Hybrid,,Y,PHEV,SUV,26,5,AWD,10.8,36,V6,3.0,410,440,5.9,2350,6.4,53900,58866,86600,59900,59900,59900,59900,64977,56500,55950,53900
2014,Porsche,Panamera S E-Hybrid,,Y,PHEV,Hatch,12,4,RWD,9.4,26,V6,3.0,416,435,5.8,2177,8.3,54999,64048,113300,69999,64995,64995,64995,72000,61500,58900,54999
2014,Smart,Fortwo EV,,Y,BEV,Coupe,7.8,2,RWD,17.6,130,,,74,96,11.3,900,,7999,8696,26999,N/A,N/A,8199,8199,9800,8990,7999,8990
2017,Smart,Fortwo EV,,Y,BEV,Coupe,8,2,RWD,17.6,130,,,80,118,11.1,1088,,19888,22142,28800,N/A,N/A,24988,19999,22500,22500,22975,19888
2013,Tesla,Model S 60,,Y,BEV,Hatch,26,5,RWD,60,335,,,302,317,5.5,1961,,44900,49718,70000,56936,54900,47900,44900,49777,49777,46777,46777
2013,Tesla,Model S 85,,Y,BEV,Hatch,26,5,RWD,85,426,,,382,325,4.9,2108,,46900,51185,79000,57998,54994,55900,49900,49000,47888,46900,46900
2012,Tesla,Model S P85,,Y,BEV,Hatch,26,5,RWD,85,426,,,469,443,4.2,2112,,49981,53521,85900,60000,54994,51900,51900,49981,55995,51900,51495
2019,Tesla,Model 3 SR+,,Y,BEV,Sedan,15,5,RWD,55,386,,,271,307,5.6,1672,,54937,56937,51600,N/A,N/A,N/A,N/A,N/A,N/A,58937,54937
2015,Tesla,Model S 70D,,Y,BEV,Hatch,26,5,AWD,70,390,,,329,387,5.2,2090,,57500,57500,93300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57500
2016,Tesla,Model X 60D,,Y,BEV,SUV,26,5-7,AWD,60,320,,,328,387,6,2300,,57700,57700,98400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57700
2015,Tesla,Model S 85D,,Y,BEV,Hatch,26,5,AWD,85,430,,,417,485,3.7,2188,,57900,64038,98700,72900,74950,66950,63900,59900,57900,57900,57900
2016,Tesla,Model S 90D (Facelift),,Y,BEV,Hatch,26,5,AWD,90,473,,,417,485,3.8,2200,,59800,74406,119500,89999,76500,76500,82700,77950,69900,61900,59800
2019,Tesla,Model 3 MR,,Y,BEV,Sedan,15,5,RWD,63,418,,,271,307,4.9,1672,,60100,63489,60100,60100,62636,N/A,N/A,64937,63837,N/A,65937
2015,Tesla,Model S 90D,,Y,BEV,Hatch,26,5,AWD,90,473,,,417,485,3.8,2200,,61900,61900,107600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61900
2018,Tesla,Model 3 LR,,Y,BEV,Sedan,15,5,AWD,75,500,,,346,389,3.9,1847,,62000,68647,69400,72000,71000,71700,66777,72000,71700,62000,62000
2016,Tesla,Model S 60 (Facelift),,Y,BEV,Hatch,26,5,RWD,60,335,,,302,317,5.5,1961,,63900,63900,77800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63900
2016,Tesla,Model S 70D (Facelift),,Y,BEV,Hatch,26,5,AWD,70,390,,,329,387,5.2,2090,,67900,67900,93300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67900
2015,Tesla,Model S P85D,,Y,BEV,Hatch,26,5,AWD,85,407,,,532,687,3.1,2239,,69900,77556,114700,79500,79500,86000,82950,74950,74700,69900,72950
2016,Tesla,Model S 75D (Facelift),,Y,BEV,Hatch,26,5,AWD,75,417,,,329,486,4.2,2090,,71900,71900,101750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71900
2016,Tesla,Model X 75D,,Y,BEV,SUV,26,5-7,AWD,75,383,,,483,387,4.9,2330,,72995,94115,107300,96936,104888,105800,104999,89950,89950,87400,72995
2015,Tesla,Model S P90D,,Y,BEV,Hatch,26,5,AWD,90,430,,,532,687,2.8,2250,,84900,84900,135000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84900
2016,Tesla,Model S P90D (Facelift),,Y,BEV,Hatch,26,5,AWD,90,430,,,532,687,2.8,2250,,91000,91000,143200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91000
2017,Tesla,Model X 90D,,Y,BEV,SUV,26,5-7,AWD,90,414,,,487,387,4.8,2390,,95995,95995,123200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95995
2017,Tesla,Model S 100D,,Y,BEV,Hatch,26,5,AWD,100,507,,,417,487,3.6,2200,,99950,99950,133900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99950
2016,Tesla,Model X P90D,,Y,BEV,SUV,26,5-7,AWD,90,400,,,503,487,3.2,2440,,109888,109888,151400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109888
2017,Tesla,Model X 100D,,Y,BEV,SUV,26,5-7,AWD,100,475,,,487,387,4.4,2459,,117995,117995,135250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,117995
2016,Tesla,Model X P100D,,Y,BEV,SUV,26,5-7,AWD,100,465,,,503,487,2.8,2509,,119000,119000,199800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,119000
2017,Tesla,Model S P100D,,Y,BEV,Hatch,26,5,AWD,100,540,,,605,687,2.3,2250,,129770,129770,193900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129770
2017,Toyota,Prius Prime,,Y,PHEV,Hatch,20,4,FWD,8.8,40,I4,1.8,121,105,10.2,1526,2.8,26458,27119,32990,N/A,N/A,26995,26915,26950,26458,27995,27400
2015,Volkswagen,e-Golf,,Y,BEV,Hatch,23,5,FWD,24.2,134,,,115,199,10,1542,,20999,23810,35995,25499,24999,24999,24999,24999,21999,21985,20999
2017,Volkswagen,e-Golf,,Y,BEV,Hatch,23,5,FWD,35.8,201,,,134,214,9.6,1553,,27866,31605,35995,34000,35000,35000,32995,31990,27995,27866,27995